Country,Unemployment
Belgium,8.4
Bulgaria,12.9
Czech Republic,7
Denmark,7
Germany,5.3
Estonia,-1
Ireland,13.1
Greece,-1
Spain,26.4
France,10.8
Croatia,17.6
Italy,12.2
Cyprus,16
Latvia,11.9
Lithuania,11.8
Luxembourg,5.9
Hungary,10.2
Malta,6.5
Netherlands,6.7
Austria,-1
Poland,10.3
Portugal,16.5
Romania,7.3
Slovenia,10.2
Slovakia,14.2
Finland,8.2
Sweden,8
United Kingdom,-1
Iceland,5.4
Norway,3.5
Switzerland,-1
Turkey,-1
United States,7.4
Japan,-1
